date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:15	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jun%202022%2003:55:11%20GMT	https://yuzzu-api.herokuapp.com/robots.txt		(from )
10:55:16	5345/5345	---M--	200	added ('OK')	text/html	etag:W/%2214e1-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/index.html	(from )
10:55:17	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://yuzzu-api.herokuapp.com/)
10:55:20	200/200	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jun%202022%2003:55:16%20GMT	https://cdn.rawgit.com/bungfrangki/efeksalju/2a7805c7/efek-salju.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/cdn.rawgit.com/bungfrangki/efeksalju/2a7805c7/efek-salju.3.delayed	(from https://yuzzu-api.herokuapp.com/)
10:55:20	15988/15988	---M-Z	200	added ('OK')	application/javascript	etag:W/%223e74-+UH++c/vmoJn5o/iit08ZPyZab0%22	https://cdn.jsdelivr.net/gh/bungfrangki/efeksalju@2a7805c7/efek-salju.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/cdn.jsdelivr.net/gh/bungfrangki/efeksalju@2a7805c7/efek-salju.js	(from https://yuzzu-api.herokuapp.com/)
10:55:20	62/62	---MCZ	302	error ('Found')	text/plain	date:Sun,%2026%20Jun%202022%2003:55:17%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/unpkg.com/sweetalert/dist/sweetalert.min.5.delayed	(from https://yuzzu-api.herokuapp.com/)
10:55:20	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://yuzzu-api.herokuapp.com/)
10:55:21	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://yuzzu-api.herokuapp.com/)
10:55:22	198751/198751	---M--	200	added ('OK')	text/css	etag:W/%223085f-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/css/app.css	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/css/app.css	(from https://yuzzu-api.herokuapp.com/)
10:55:23	30490/30490	---M--	200	added ('OK')	text/html	etag:W/%22771a-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/home	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/home.html	(from https://yuzzu-api.herokuapp.com/)
10:55:24	886268/886268	---M--	200	added ('OK')	image/png	etag:W/%22d85fc-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/img/icons/icon-48x48.png	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/img/icons/icon-48x48.png	(from https://yuzzu-api.herokuapp.com/)
10:55:28	2920272/2920272	---M--	200	added ('OK')	image/jpeg	etag:W/%222c8f50-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/asu.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/asu.jpg	(from https://yuzzu-api.herokuapp.com/)
10:55:28	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jun%202022%2003:55:25%20GMT	https://yuzzu-api.herokuapp.com/index.html	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/index-2.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:28	14990/14990	---M--	200	added ('OK')	text/html	etag:W/%223a8e-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/profile	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/profile.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:29	13899/13899	---M--	200	added ('OK')	text/html	etag:W/%22364b-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/download	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/download.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:29	17953/17953	---M--	200	added ('OK')	text/html	etag:W/%224621-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/photooxy	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/photooxy.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:29	17584/17584	---M--	200	added ('OK')	text/html	etag:W/%2244b0-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/media	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/media.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:29	16423/16423	---M--	200	added ('OK')	text/html	etag:W/%224027-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/anime	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/anime.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:30	13710/13710	---M--	200	added ('OK')	text/html	etag:W/%22358e-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/info	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/info.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:30	12782/12782	---M--	200	added ('OK')	text/html	etag:W/%2231ee-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/fun	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/fun.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:30	12839/12839	---M--	200	added ('OK')	text/html	etag:W/%223227-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/baseenc	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/baseenc.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:31	12606/12606	---M--	200	added ('OK')	text/html	etag:W/%22313e-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/other	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/other.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:31	13603/13603	---M--	200	added ('OK')	text/html	etag:W/%223523-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/tik-tok	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/tik-tok.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:31	13633/13633	---M--	200	added ('OK')	text/html	etag:W/%223541-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/instagram	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/instagram.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:31	13597/13597	---M--	200	added ('OK')	text/html	etag:W/%22351d-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/twitter	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/twitter.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:32	14675/14675	---M--	200	added ('OK')	text/html	etag:W/%223953-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/ytmp4	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/ytmp4.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:32	14677/14677	---M--	200	added ('OK')	text/html	etag:W/%223955-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/ytmp3	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/ytmp3.html	(from https://yuzzu-api.herokuapp.com/home)
10:55:33	41593/41593	---M--	200	added ('OK')	image/jpeg	etag:W/%22a279-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/img/avatars/avatar-5.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/img/avatars/avatar-5.jpg	(from https://yuzzu-api.herokuapp.com/home)
10:55:33	23077/23077	---M--	200	added ('OK')	image/jpeg	etag:W/%225a25-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/img/avatars/avatar-2.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/img/avatars/avatar-2.jpg	(from https://yuzzu-api.herokuapp.com/home)
10:55:33	88906/88906	---M--	200	added ('OK')	image/jpeg	etag:W/%2215b4a-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/img/avatars/avatar-6.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/img/avatars/avatar-6.jpg	(from https://yuzzu-api.herokuapp.com/home)
10:55:34	136501/136501	---M--	200	added ('OK')	image/jpeg	etag:W/%2221535-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/img/avatars/avatar.jpg	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/img/avatars/avatar.jpg	(from https://yuzzu-api.herokuapp.com/home)
10:55:35	142/142	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jun%202022%2003:55:32%20GMT	https://yuzzu-api.herokuapp.com/GET	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/GET	(from https://yuzzu-api.herokuapp.com/home)
10:55:36	88145/88145	---M--	200	added ('OK')	application/javascript	etag:W/%2215851-17ceb3dfa40%22	https://yuzzu-api.herokuapp.com/js/jquery.min.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/js/jquery.min.js	(from https://yuzzu-api.herokuapp.com/home)
10:55:37	1607/1607	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jun%202022%2003:55:32%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1/themes/base/jquery-ui.css	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/ajax.googleapis.com/ajax/libs/jqueryui/1/themes/base/jquery-ui.20.delayed	(from https://yuzzu-api.herokuapp.com/profile)
10:55:51	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://yuzzu-api.herokuapp.com/profile)
